,Epochs,Current_State,Pit_Position,Goal_Position,Wall_Position,Action,Reward,Next_State,Epsilon_Boolean,Q_Max,Q1_Current,Q2_Current,Q3_Current,Q4_Current,Q1_Next,Q2_Next,Q3_Next,Q4_Next,Q_Next_Max,Y
166,5,2,15,7,12,0,-1,2,0,0.0302271209657192,0.0302271209657192,-0.0468516685068607,-0.0673678666353225,-0.0932369977235794,0.0311100073158741,-0.0465514846146106,-0.0677404403686523,-0.093481607735157,0.0311100073158741,-0.9720009934157132
176,5,3,15,7,12,0,-1,3,0,0.0310174357146024,0.0310174357146024,-0.0466213896870613,-0.0544090121984481,-0.1036646366119384,0.0301030650734901,-0.047123197466135,-0.053855825215578,-0.1035152971744537,0.0301030650734901,-0.9729072414338588
191,6,3,2,10,5,0,-1,3,0,0.0413693413138389,0.0413693413138389,-0.0403765067458152,-0.0355360656976699,-0.1462060064077377,0.0415133908390998,-0.0401400066912174,-0.0355350524187088,-0.1460948884487152,0.0415133908390998,-0.96263794824481
199,7,0,3,9,7,0,-1,0,0,0.0739898979663848,0.0739898979663848,-0.0570714026689529,-0.0844342112541198,-0.1390463262796402,0.0738771259784698,-0.0575804933905601,-0.0844660848379135,-0.1382855176925659,0.0738771259784698,-0.9335105866193772
201,7,1,3,9,7,0,-1,1,0,0.0314698666334152,0.0314698666334152,-0.0602153465151786,-0.0776406601071357,-0.1376877576112747,0.0316112674772739,-0.0606082379817962,-0.0773475244641304,-0.1382304430007934,0.0316112674772739,-0.9715498592704536
204,7,6,3,9,7,1,-1,10,0,-0.044345811009407,-0.0890793055295944,-0.044345811009407,-0.0620386414229869,-0.1601882576942443,-0.0992845743894577,-0.0563996508717536,-0.0797378495335578,-0.1419119089841842,-0.0563996508717536,-1.0507596857845782
206,8,4,10,14,11,2,-1,4,0,-0.0662529617547988,-0.1980564296245575,-0.0679699182510376,-0.0662529617547988,-0.1653296053409576,-0.198454663157463,-0.0677883774042129,-0.0664811208844184,-0.1652705669403076,-0.0664811208844184,-1.0598330087959766
207,8,4,10,14,11,1,-1,8,0,-0.0679832026362419,-0.2418645918369293,-0.0679832026362419,-0.0748064070940017,-0.1796186864376068,-0.2459470331668853,-0.0695339441299438,-0.0683885216712951,-0.1924235522747039,-0.0683885216712951,-1.0615496695041655
208,8,8,10,14,11,1,-1,12,0,-0.070563718676567,-0.2921328544616699,-0.070563718676567,-0.0799342319369316,-0.2080974578857422,-0.2771950364112854,-0.0707678943872451,-0.0698202252388,-0.1537826508283615,-0.0698202252388,-1.06283820271492
215,8,13,10,14,11,1,-1,13,0,-0.091049425303936,-0.6737006902694702,-0.091049425303936,-0.2192337214946746,-0.3832511007785797,-0.6732703447341919,-0.0911787822842598,-0.219183549284935,-0.383319079875946,-0.0911787822842598,-1.0820609040558338
222,9,15,3,8,13,1,-1,15,0,-0.3369885385036468,-1.2281171083450315,-0.3369885385036468,-0.3892896175384521,-0.8012382984161377,-1.2318724393844604,-0.3386070728302002,-0.3899622857570648,-0.8020572662353516,-0.3386070728302002,-1.3047463655471805
243,9,14,3,8,13,2,-1,14,0,-2.383986473083496,-2.4020750522613525,-2.576186180114746,-2.383986473083496,-2.5418078899383545,-2.3860743045806885,-2.553213596343994,-2.369628667831421,-2.526940107345581,-2.369628667831421,-3.132665801048279
244,9,14,3,8,13,0,-1,10,0,-2.5205318927764893,-2.5205318927764893,-2.739839553833008,-2.5620455741882324,-2.665513277053833,-1.8828928470611568,-2.2389321327209477,-1.6898308992385864,-1.976338028907776,-1.6898308992385864,-2.520847809314728
245,9,10,3,8,13,2,-1,9,0,-1.8205170631408687,-1.9801641702651975,-2.3889389038085938,-1.8205170631408687,-2.070033073425293,-2.2509682178497314,-2.7293248176574707,-2.267384529113769,-2.353569507598877,-2.2509682178497314,-3.0258713960647583
246,9,9,3,8,13,0,-1,5,0,-2.3664846420288086,-2.3664846420288086,-2.9164555072784424,-2.429632663726806,-2.466179609298706,-2.460956573486328,-3.0239925384521484,-2.5358762741088867,-2.633857727050781,-2.460956573486328,-3.2148609161376958
