,Current_State,Pit_Position,Goal_Position,Wall_Position,Q_Max,level_5,Action
1076,0,12,6,5,6.204798221588135,0,3
1080,0,12,10,4,-6.782028675079346,0,3
1081,0,12,10,8,5.431674957275391,0,3
1087,0,12,13,6,0.881218433380127,0,3
1088,0,12,14,6,4.836574554443359,0,3
1089,0,12,15,8,2.6246771812438965,0,3
1090,0,13,1,7,8.076427459716797,0,3
1091,0,13,1,9,9.001542091369629,0,3
1092,0,13,1,11,8.244832038879395,0,3
1094,0,13,1,14,10.345593452453613,0,3
1095,0,13,2,4,-1.113821268081665,0,3
1096,0,13,2,6,7.420219421386719,0,3
1099,0,13,2,10,6.290233612060547,0,3
1101,0,13,5,2,8.297281265258789,0,3
1102,0,13,5,3,9.137015342712402,0,3
1104,0,13,6,3,5.522927761077881,0,3
1105,0,13,7,5,-5.767484664916992,0,3
1109,0,13,8,4,0.7281710505485535,0,3
1111,0,13,9,11,-7.658693313598633,0,3
1112,0,13,9,12,5.695719242095947,0,3
1113,0,13,10,2,6.633425712585449,0,3
1114,0,13,10,5,4.296020984649658,0,3
1115,0,13,10,6,-0.8880037069320679,0,3
1116,0,13,11,4,1.295850157737732,0,3
1120,0,13,12,15,0.21519561111927032,0,3
1121,0,13,14,15,4.190601348876953,0,3
1122,0,14,1,5,11.443096160888672,0,3
1123,0,14,2,10,6.14877986907959,0,3
1124,0,14,2,11,5.03817081451416,0,3
1125,0,14,3,7,3.4901418685913086,0,3
1126,0,14,6,7,6.544025897979736,0,3
1128,0,14,6,12,7.706927299499512,0,3
1130,0,14,7,6,1.694016695022583,0,3
1131,0,14,7,11,3.515838861465454,0,3
1136,0,14,8,4,1.383962869644165,0,3
1142,0,14,11,4,-0.890045166015625,0,3
1143,0,14,11,12,3.8340330123901367,0,3
1144,0,14,12,4,2.6993021965026855,0,3
1150,0,14,12,8,1.743950605392456,0,3
1152,0,14,13,5,-1.1193569898605347,0,3
1154,0,14,13,8,-2.685325860977173,0,3
1155,0,15,1,3,4.329959392547607,0,3
1156,0,15,1,9,9.542634010314941,0,3
1157,0,15,1,14,9.621532440185547,0,3
1161,0,15,2,5,4.555495262145996,0,3
1162,0,15,2,6,7.884654521942139,0,3
1163,0,15,3,6,4.984921932220459,0,3
1164,0,15,3,13,4.129103183746338,0,3
1165,0,15,5,9,7.601364612579346,0,3
1166,0,15,5,14,9.669473648071289,0,3
1167,0,15,6,5,5.822305679321289,0,3
1168,0,15,6,8,7.275005340576172,0,3
1169,0,15,6,9,-3.87823224067688,0,3
1171,0,15,7,12,4.190735816955566,0,3
1172,0,15,9,7,7.580645561218262,0,3
1173,0,15,9,12,6.166204452514648,0,3
1175,0,15,9,13,6.70278787612915,0,3
1178,0,15,10,4,0.32210057973861694,0,3
1179,0,15,10,9,4.583106517791748,0,3
1180,0,15,11,2,4.040255069732666,0,3
1183,0,15,11,9,3.494379997253418,0,3
1184,0,15,12,4,0.9816759824752808,0,3
1185,0,15,14,5,2.7792420387268066,0,3
1188,0,1,3,5,0.19752149283885956,0,1
1192,0,1,3,6,2.2910585403442383,0,1
1193,0,1,4,2,9.798670768737793,0,1
1195,0,1,6,5,2.240649700164795,0,1
1196,0,1,7,15,4.4366583824157715,0,1
1198,0,1,9,11,6.052282333374023,0,1
1199,0,1,11,10,1.4810940027236938,0,1
1200,0,1,12,15,6.659186840057373,0,1
1201,0,1,13,5,4.0921549797058105,0,1
1202,0,1,15,7,2.216387987136841,0,1
1203,0,2,4,5,9.160468101501465,0,1
1204,0,2,4,6,7.2424235343933105,0,1
1205,0,2,4,7,9.612577438354492,0,1
1206,0,2,5,13,5.384723663330078,0,1
1207,0,2,6,3,4.9413018226623535,0,1
1208,0,2,8,9,7.836577892303467,0,1
1211,0,2,8,14,8.424072265625,0,1
1213,0,2,10,8,4.418168544769287,0,1
1214,0,2,10,13,-0.7417881488800049,0,1
1216,0,2,10,15,-5.229935646057129,0,1
1217,0,2,11,6,2.737592935562134,0,1
1218,0,2,11,8,0.8761553168296814,0,1
1219,0,2,12,3,6.126623630523682,0,1
1220,0,2,12,9,4.763339996337891,0,1
1221,0,2,12,11,5.36236047744751,0,1
1222,0,2,12,14,6.103659152984619,0,1
1228,0,2,14,6,4.971508502960205,0,1
1229,0,2,14,13,-0.5086681842803955,0,1
1230,0,2,15,11,1.2146230936050415,0,1
1231,0,3,4,8,4.814083099365234,0,1
1232,0,3,4,12,10.909854888916016,0,1
1233,0,3,8,5,8.424694061279297,0,1
1236,0,3,8,6,7.09947395324707,0,1
1237,0,3,11,1,3.0984301567077637,0,1
1238,0,3,11,2,3.119835138320923,0,1
1240,0,3,12,1,8.407525062561035,0,1
1241,0,3,12,10,5.4656877517700195,0,1
1243,0,3,13,11,5.922128200531006,0,1
1244,0,3,14,7,4.408167362213135,0,1
1245,0,3,14,10,1.7306246757507324,0,1
1246,0,3,15,2,2.83778715133667,0,1
1247,0,4,8,15,3.4218733310699463,0,1
1248,0,4,9,15,4.622210502624512,0,1
1249,0,4,13,6,3.6697471141815186,0,1
1250,0,4,14,12,2.65419340133667,0,1
1251,0,5,2,9,2.6962103843688965,0,1
1252,0,5,4,2,9.259428024291992,0,1
1253,0,5,4,10,10.603426933288574,0,1
1254,0,5,4,11,8.150236129760742,0,1
1255,0,5,4,13,8.060173988342285,0,1
1256,0,5,8,7,3.1148035526275635,0,1
1257,0,5,8,10,9.171785354614258,0,1
1258,0,5,9,10,3.9120137691497803,0,1
1259,0,5,9,14,6.6887922286987305,0,1
1263,0,5,10,6,4.432636737823486,0,1
1264,0,5,11,15,5.9616498947143555,0,1
1266,0,5,12,3,5.927293300628662,0,1
1267,0,5,12,11,3.376587390899658,0,1
1268,0,5,13,15,4.023495674133301,0,1
1269,0,6,4,7,9.216747283935547,0,1
1270,0,6,5,12,3.629973888397217,0,1
1271,0,6,7,10,0.9807480573654175,0,1
1272,0,6,8,13,-3.0160374641418457,0,1
1274,0,6,8,15,8.13901424407959,0,1
1275,0,6,9,1,5.641090393066406,0,1
1277,0,6,9,7,6.89468240737915,0,1
1280,0,6,10,7,5.838874340057373,0,1
1281,0,6,11,9,-2.033857583999634,0,1
1282,0,6,12,5,4.906356334686279,0,1
1285,0,6,12,13,6.6775221824646,0,1
1286,0,6,15,8,5.956009864807129,0,1
1287,0,7,2,1,2.5244457721710205,0,1
1288,0,7,4,1,7.759396076202393,0,1
1289,0,7,4,6,9.507942199707031,0,1
1290,0,7,4,9,7.334417819976807,0,1
1291,0,7,4,12,10.750100135803223,0,1
1292,0,7,5,14,8.299649238586426,0,1
1293,0,7,8,5,7.761648178100586,0,1
1295,0,7,8,6,8.50455379486084,0,1
1297,0,7,8,12,7.517828941345215,0,1
1298,0,7,8,15,7.652237415313721,0,1
1299,0,7,9,3,7.676760196685791,0,1
1300,0,7,9,11,6.288259983062744,0,1
1301,0,7,12,2,7.916296005249023,0,1
1302,0,7,12,5,5.807456970214844,0,1
1304,0,7,12,15,6.122708320617676,0,1
1306,0,7,13,9,3.327239990234375,0,1
1307,0,7,15,10,0.3783257007598877,0,1
1308,0,7,15,12,-0.9446853995323181,0,1
1310,0,8,4,2,9.493273735046387,0,1
1312,0,8,4,9,10.173420906066895,0,1
1313,0,8,4,10,5.380897045135498,0,1
1315,0,8,4,12,9.430808067321777,0,1
1318,0,8,9,3,6.66887903213501,0,1
1319,0,8,9,5,-0.833644688129425,0,1
1321,0,8,11,2,0.5811839699745178,0,1
1322,0,8,12,1,2.4676547050476074,0,1
1323,0,8,12,3,4.5741729736328125,0,1
1327,0,8,12,5,0.15306110680103302,0,1
1333,0,8,12,10,7.1922101974487305,0,1
1334,0,8,12,11,5.471213340759277,0,1
1335,0,8,12,15,2.3896772861480713,0,1
1336,0,8,14,1,3.9122588634490967,0,1
1339,0,9,2,1,1.5201561450958252,0,1
1340,0,9,4,3,10.816557884216309,0,1
1341,0,9,4,5,-2.0393850803375244,0,1
1342,0,9,4,11,11.444464683532715,0,1
1345,0,9,4,12,11.01329231262207,0,1
1347,0,9,6,15,5.486222267150879,0,1
1348,0,9,7,10,3.3881731033325195,0,1
1349,0,9,8,10,7.794545650482178,0,1
1350,0,9,8,11,8.1718111038208,0,1
1351,0,9,8,14,8.857709884643555,0,1
1352,0,9,10,1,5.1942620277404785,0,1
1353,0,9,12,6,0.34314393997192383,0,1
1354,0,10,4,3,9.445588111877441,0,1
1355,0,10,4,5,8.956689834594727,0,1
1356,0,10,4,9,9.34576416015625,0,1
1357,0,10,4,11,9.6536865234375,0,1
1358,0,10,4,12,10.789301872253418,0,1
1359,0,10,4,15,9.629196166992188,0,1
1360,0,10,5,6,3.209352493286133,0,1
1361,0,10,7,5,2.2788140773773193,0,1
1362,0,10,8,5,8.27042293548584,0,1
1363,0,10,8,7,8.823244094848633,0,1
1364,0,10,8,13,8.778820037841797,0,1
1366,0,10,8,15,8.61384105682373,0,1
1367,0,10,11,1,-0.5029599070549011,0,1
1368,0,10,12,6,6.159246921539307,0,1
1369,0,10,12,7,4.719428062438965,0,1
1375,0,10,12,8,3.964151620864868,0,1
1376,0,10,12,11,5.578689098358154,0,1
1377,0,10,15,7,-5.533571243286133,0,1
1378,0,11,4,5,10.079419136047363,0,1
1379,0,11,4,6,9.746333122253418,0,1
1381,0,11,6,5,3.651155710220337,0,1
1382,0,11,8,10,7.314008712768555,0,1
1383,0,11,9,2,7.5579833984375,0,1
1384,0,11,9,8,3.839376926422119,0,1
1385,0,11,9,14,6.691723346710205,0,1
1386,0,11,10,3,5.407114028930664,0,1
1387,0,11,12,3,3.5188021659851074,0,1
1388,0,11,12,13,4.945100784301758,0,1
1389,0,12,1,11,3.254636287689209,0,1
1390,0,12,4,3,10.29592514038086,0,1
1391,0,12,4,15,10.30177116394043,0,1
1392,0,12,8,9,7.795506477355957,0,1
1393,0,12,8,13,6.507954120635986,0,1
1394,0,12,8,15,6.671830654144287,0,1
1395,0,12,9,5,7.119195938110352,0,1
1396,0,12,10,11,-3.6649169921875,0,1
1397,0,12,13,9,3.786259651184082,0,1
1398,0,12,13,10,-3.8681561946868896,0,1
1399,0,12,14,1,2.316711664199829,0,1
1400,0,12,15,13,2.6419589519500732,0,1
1402,0,13,2,1,3.2387161254882812,0,1
1411,0,13,2,5,6.14888858795166,0,1
1412,0,13,4,2,10.619820594787598,0,1
1414,0,13,4,3,10.693612098693848,0,1
1415,0,13,4,7,8.582483291625977,0,1
1416,0,13,4,9,10.402751922607422,0,1
1418,0,13,4,11,10.234004974365234,0,1
1419,0,13,4,12,9.194441795349121,0,1
1420,0,13,4,15,10.450157165527344,0,1
1421,0,13,5,1,6.218496799468994,0,1
1426,0,13,5,8,8.55430793762207,0,1
1427,0,13,6,2,6.567851543426514,0,1
1428,0,13,6,10,4.820136070251465,0,1
1429,0,13,6,15,6.989204406738281,0,1
1430,0,13,8,5,8.716764450073242,0,1
1431,0,13,8,6,2.9990131855010986,0,1
1433,0,13,8,12,8.27069091796875,0,1
1434,0,13,11,9,2.8621160984039307,0,1
1436,0,13,12,1,4.333467960357666,0,1
1437,0,13,12,3,6.173009395599365,0,1
1438,0,13,12,6,6.94064998626709,0,1
1439,0,13,12,10,2.27508282661438,0,1
1440,0,13,14,9,1.8827474117279053,0,1
1441,0,13,15,2,2.291156768798828,0,1
1443,0,13,15,10,-2.0162193775177,0,1
1444,0,14,2,1,-1.782442569732666,0,1
1445,0,14,4,3,10.442557334899902,0,1
1446,0,14,4,5,9.501407623291016,0,1
1447,0,14,4,6,12.404245376586914,0,1
1448,0,14,4,7,10.134013175964355,0,1
1449,0,14,4,12,9.58691120147705,0,1
1450,0,14,4,15,11.729935646057129,0,1
1451,0,14,5,7,7.609962463378906,0,1
1453,0,14,8,2,7.745050430297852,0,1
1454,0,14,8,5,8.019410133361816,0,1
1457,0,14,8,11,8.36240005493164,0,1
1458,0,14,8,15,5.994253158569336,0,1
1459,0,14,9,5,6.096899509429932,0,1
1460,0,14,10,1,5.735055446624756,0,1
1461,0,14,10,5,7.138132095336914,0,1
1462,0,14,13,9,5.689869403839111,0,1
1463,0,15,4,3,9.962899208068848,0,1
1465,0,15,4,7,10.75882625579834,0,1
1466,0,15,4,9,10.846132278442383,0,1
1468,0,15,4,11,9.898252487182617,0,1
1469,0,15,4,12,10.361726760864258,0,1
1470,0,15,7,5,3.876927375793457,0,1
1472,0,15,8,5,7.376338958740234,0,1
1477,0,15,8,10,8.678055763244629,0,1
1478,0,15,8,14,6.0752692222595215,0,1
1480,0,15,9,11,6.265926837921143,0,1
1481,0,15,12,14,7.267782211303711,0,1
1482,0,15,13,12,5.737943649291992,0,1
1486,0,15,14,1,0.4625377953052521,0,1
1487,0,15,14,6,4.306006908416748,0,1
1488,1,0,4,11,6.039353847503662,0,2
1490,1,0,5,13,5.850169658660889,0,2
1491,1,0,12,5,3.8753600120544434,0,2
1492,1,0,12,13,-0.5641528367996216,0,2
1493,1,2,0,7,9.272729873657227,0,2
1494,1,2,0,8,8.363768577575684,0,2
1495,1,2,0,9,10.172391891479492,0,2
1496,1,2,0,11,5.897266387939453,0,2
1497,1,2,0,15,8.979074478149414,0,2
1498,1,2,3,13,-0.824898362159729,0,2
1505,1,3,0,2,9.72587776184082,0,2
1510,1,3,0,7,10.042590141296387,0,2
1511,1,3,0,8,10.260320663452148,0,2
1513,1,3,0,9,8.79723834991455,0,2
1514,1,3,0,12,10.852179527282715,0,2
1515,1,3,0,13,10.453340530395508,0,2
1517,1,3,0,15,10.13238525390625,0,2
1518,1,3,4,8,5.4636921882629395,0,2
1523,1,3,8,6,4.287487030029297,0,2
1524,1,3,8,12,6.518491744995117,0,2
1533,1,4,0,2,10.059194564819336,0,2
1534,1,4,0,3,8.728238105773926,0,2
1536,1,4,0,6,10.581879615783691,0,2
1538,1,4,0,7,9.780290603637695,0,2
1540,1,4,0,8,8.180510520935059,0,2
1541,1,4,0,10,8.408758163452148,0,2
1544,1,4,0,13,10.193807601928711,0,2
1545,1,4,0,14,8.055822372436523,0,2
1547,1,4,0,15,10.583701133728027,0,2
1548,1,4,8,6,4.908017158508301,0,2
1549,1,4,8,11,4.948591232299805,0,2
1550,1,4,12,3,3.932584047317505,0,2
1560,1,5,0,4,9.240015983581543,0,2
1562,1,5,0,6,9.99675464630127,0,2
1563,1,5,0,8,10.663212776184082,0,2
1564,1,5,4,6,5.241477966308594,0,2
1565,1,5,4,10,7.420117378234863,0,2
1566,1,5,4,11,6.213768005371094,0,2
1567,1,5,4,13,8.299375534057617,0,2
1568,1,5,8,10,6.119334697723389,0,2
1575,1,5,12,2,4.445509910583496,0,2
1576,1,5,12,3,4.596029281616211,0,2
1578,1,5,12,11,2.370520830154419,0,2
1580,1,6,0,2,10.496026992797852,0,2
1581,1,6,0,3,6.390724182128906,0,2
1583,1,6,0,9,10.777654647827148,0,2
1585,1,6,0,11,10.72584342956543,0,2
1588,1,6,0,13,11.262213706970215,0,2
1589,1,6,4,7,7.78477144241333,0,2
1592,1,6,8,15,6.776974678039551,0,2
1598,1,7,0,3,10.945977210998535,0,2
1599,1,7,0,4,7.6895976066589355,0,2
1601,1,7,0,8,10.538503646850586,0,2
1602,1,7,0,11,11.445324897766113,0,2
1604,1,7,0,12,11.604438781738281,0,2
1605,1,7,0,13,3.2012345790863037,0,2
1606,1,7,0,14,9.92780876159668,0,2
1610,1,7,0,15,10.794954299926758,0,2
1611,1,7,4,6,7.9481425285339355,0,2
1613,1,7,8,5,6.1014580726623535,0,2
1614,1,7,8,6,6.608317852020264,0,2
1617,1,7,8,12,6.511458396911621,0,2
1618,1,7,8,15,6.553761005401611,0,2
1619,1,8,0,2,10.615161895751953,0,2
1621,1,8,0,6,9.371801376342773,0,2
1624,1,8,0,7,9.484549522399902,0,2
1625,1,8,0,10,10.863755226135254,0,2
1626,1,8,0,12,9.611654281616211,0,2
1627,1,8,0,14,8.91525936126709,0,2
1629,1,8,0,15,10.017833709716797,0,2
1637,1,8,4,9,7.749602794647217,0,2
1638,1,8,4,10,4.9144606590271,0,2
1639,1,8,4,12,6.463872909545898,0,2
1646,1,8,12,10,5.6783528327941895,0,2
1653,1,9,0,4,10.01716423034668,0,2
1654,1,9,0,5,7.559375762939453,0,2
1656,1,9,0,7,10.340639114379883,0,2
1657,1,9,0,10,9.318548202514648,0,2
1659,1,9,0,11,10.87221908569336,0,2
1660,1,9,0,12,10.30545425415039,0,2
1661,1,9,0,14,10.644596099853516,0,2
1666,1,9,4,12,9.486214637756348,0,2
1668,1,9,4,15,7.678847789764404,0,2
1670,1,9,8,10,5.11004638671875,0,2
1675,1,9,12,6,0.6676037311553955,0,2
1677,1,10,0,3,9.817144393920898,0,2
1678,1,10,0,4,9.011202812194824,0,2
1679,1,10,0,6,11.211884498596191,0,2
1681,1,10,0,8,10.398547172546387,0,2
1682,1,10,0,13,10.268973350524902,0,2
1683,1,10,4,3,8.75670337677002,0,2
1685,1,10,4,5,7.090020179748535,0,2
1686,1,10,4,9,8.829108238220215,0,2
1687,1,10,4,11,4.654725074768066,0,2
1688,1,10,4,12,9.292998313903809,0,2
1689,1,10,4,15,8.344659805297852,0,2
1690,1,10,8,5,6.390552520751953,0,2
1691,1,10,8,7,7.207279682159424,0,2
1692,1,10,8,15,7.295721530914307,0,2
1694,1,10,11,7,1.3081945180892944,0,2
1696,1,10,12,6,4.968667984008789,0,2
1700,1,10,12,11,3.5734996795654297,0,2
1703,1,11,0,4,8.658196449279785,0,2
1704,1,11,0,9,9.033259391784668,0,2
1705,1,11,0,12,8.914945602416992,0,2
1707,1,11,0,13,11.879491806030273,0,2
1709,1,11,0,14,9.91224193572998,0,2
1711,1,11,0,15,10.388583183288574,0,2
1714,1,11,12,3,5.291703224182129,0,2
1715,1,12,0,3,10.042118072509766,0,2
1716,1,12,0,6,11.308009147644043,0,2
1717,1,12,0,7,9.96036434173584,0,2
1718,1,12,0,11,10.982662200927734,0,2
1721,1,12,0,13,10.667790412902832,0,2
1722,1,12,0,14,10.123368263244629,0,2
1723,1,12,0,15,11.585616111755371,0,2
1725,1,12,4,9,8.436746597290039,0,2
1726,1,12,4,11,7.030623912811279,0,2
1727,1,12,4,15,8.762171745300293,0,2
1728,1,12,6,10,8.633713722229004,0,2
1729,1,12,9,10,-2.7010538578033447,0,2
1738,1,13,0,3,8.066230773925781,0,2
1739,1,13,0,4,10.211982727050781,0,2
1740,1,13,0,5,4.302553176879883,0,2
1744,1,13,0,8,10.368058204650879,0,2
1745,1,13,0,10,9.260218620300293,0,2
1746,1,13,0,11,10.149212837219238,0,2
1747,1,13,0,14,10.468711853027344,0,2
1750,1,13,0,15,9.635932922363281,0,2
1751,1,13,4,3,8.89937686920166,0,2
1752,1,13,4,6,9.11705207824707,0,2
1754,1,13,4,7,8.046819686889648,0,2
1755,1,13,4,9,7.732809543609619,0,2
1756,1,13,4,11,7.581842422485352,0,2
1757,1,13,4,12,7.505380630493164,0,2
1758,1,13,4,15,9.82237434387207,0,2
1766,1,13,8,5,6.212249279022217,0,2
1767,1,13,12,10,1.6397216320037842,0,2
1773,1,14,0,3,10.295668601989746,0,2
1774,1,14,0,4,10.949456214904785,0,2
1775,1,14,0,5,7.2165327072143555,0,2
