,Q1_arr,Q2_arr,Action,Reward,Done,Q_max,X,Y,Gamma
123,2.05/4.47/2.56/3.06,1.99/3.16/1.88/1.04,0.0,-1.0,0.0,3.1578352451324463,2.050276041030884,1.8420517444610596,0.9
124,8.35/4.31/6.9/2.79,7.85/8.4/7.57/10.27,0.0,-1.0,0.0,10.270702362060547,8.35390853881836,8.243632316589355,0.9
125,3.07/6.49/3.35/4.92,4.95/0.02/4.0/8.37,1.0,-1.0,0.0,8.371049880981445,6.490696907043457,6.533944606781006,0.9
126,10.15/5.09/6.6/5.91,6.45/6.67/7.78/6.72,0.0,10.0,1.0,7.784766674041748,10.15162467956543,10.0,0.9
127,1.17/4.83/1.62/3.65,3.25/6.6/3.06/5.46,1.0,-1.0,0.0,6.59639310836792,4.8306355476379395,4.936753749847412,0.9
128,4.56/8.16/4.93/7.39,2.94/6.25/-3.04/3.57,0.0,-1.0,0.0,6.254714012145996,4.562051296234131,4.629242420196533,0.9
129,-1.0/-0.73/3.94/6.07,5.99/3.3/3.9/7.88,3.0,-1.0,0.0,7.877209663391113,6.072271347045898,6.089488506317139,0.9
130,1.27/1.88/3.18/1.86,1.1/1.79/3.1/1.83,3.0,-1.0,0.0,3.0998241901397705,1.8553529977798462,1.789841651916504,0.9
131,0.94/-1.32/-0.11/-1.35,0.83/-1.45/-0.32/-1.31,2.0,-1.0,0.0,0.8315296769142151,-0.10848255455493927,-0.25162333250045776,0.9
132,4.7/6.25/2.96/5.75,2.33/2.58/2.4/4.35,2.0,-1.0,0.0,4.352232933044434,2.9635541439056396,2.9170095920562744,0.9
133,-2.87/-0.6/1.5/0.38,-0.05/-1.46/0.19/0.06,1.0,-1.0,0.0,0.19457083940505981,-0.601526141166687,-0.8248862624168396,0.9
134,3.5/10.17/7.6/8.7,5.16/7.55/6.88/8.7,1.0,10.0,1.0,8.70215892791748,10.16633129119873,10.0,0.9
135,0.91/1.94/1.52/3.29,0.94/1.92/0.74/2.14,0.0,-1.0,0.0,2.1407203674316406,0.9138800501823425,0.9266482591629028,0.9
136,1.67/5.07/7.94/4.66,-1.76/7.45/10.3/8.33,2.0,-1.0,0.0,10.301032066345215,7.937427997589111,8.270928382873535,0.9
137,-0.15/-2.2/-0.32/-1.44,0.87/-1.25/-0.14/-1.28,2.0,-1.0,0.0,0.8651130795478821,-0.31749415397644043,-0.2213982343673706,0.9
