,Epochs,Current_State,Next_State,Reward,Epsilon_Boolean,Epsilon,Action,Current_Q_Value,Next_Q_Value,Reawrd_Plus_Next_Q_Value,Loss,Pit_Position,Goal_Position,Wall_Position,CurWeight[0],CurWeight[1],CurWeight[2],CurWeight[3],NextWeight[0],NextWeight[1],NextWeight[2],NextWeight[3],Step
23,134,3,7,-1,0,0.11333333333333087,1,0.881980299949646,1.644447922706604,0.48000311851501465,0.16158565878868103,1,0,5,-0.037514,-0.037514,-0.037514,-0.037514,-0.037538,-0.108428,0.096062,-0.030856,3405
24,134,7,11,-1,0,0.11333333333333087,1,1.6172621250152588,3.427039384841919,2.0843353271484375,0.21815738081932068,1,0,5,-0.037538,-0.037538,-0.037538,-0.037538,-0.037561,-0.108386,0.096042,-0.030864,3406
25,134,11,10,-1,0,0.11333333333333087,2,3.402884006500244,4.323298931121826,2.8909690380096436,0.26205694675445557,1,0,5,-0.037561,-0.037561,-0.037561,-0.037561,-0.03758,-0.108349,0.095961,-0.030872,3407
26,134,10,14,-1,1,0.11333333333333087,1,2.5355093479156494,3.8009941577911377,2.4208946228027344,0.013136534951627254,1,0,5,-0.03758,-0.03758,-0.03758,-0.03758,-0.037598,-0.108346,0.095889,-0.030878,3408
27,134,14,15,-1,1,0.11333333333333087,3,2.398454189300537,2.809379816055298,1.5284416675567627,0.7569217681884766,1,0,5,-0.037598,-0.037598,-0.037598,-0.037598,-0.037614,-0.108344,0.095824,-0.031105,3409
28,134,15,14,-1,0,0.11333333333333087,2,2.746595859527588,3.814318895339966,2.432886838912964,0.09841334819793701,1,0,5,-0.037614,-0.037614,-0.037614,-0.037614,-0.037629,-0.108342,0.095726,-0.031309,3410
29,134,14,13,-1,0,0.11333333333333087,2,3.731382369995117,4.868775844573975,3.3818979263305664,0.12213937938213348,1,0,5,-0.037629,-0.037629,-0.037629,-0.037629,-0.037642,-0.10834,0.095596,-0.031493,3411
30,134,13,12,-1,0,0.11333333333333087,2,4.794465065002441,7.906996726989746,6.116296768188477,1.7472389936447144,1,0,5,-0.037642,-0.037642,-0.037642,-0.037642,-0.037654,-0.108338,0.09564,-0.031659,3412
31,134,12,8,-1,0,0.11333333333333087,0,7.894306182861328,7.77170991897583,5.9945387840271,3.6091160774230957,1,0,5,-0.037654,-0.037654,-0.037654,-0.037654,-0.03783,-0.108337,0.09568,-0.031808,3413
32,134,8,4,-1,0,0.11333333333333087,0,7.674134254455566,9.882390975952148,7.89415168762207,0.048407670110464096,1,0,5,-0.03783,-0.03783,-0.03783,-0.03783,-0.03797,-0.108335,0.095716,-0.031943,3414
33,134,4,0,10,0,0.11333333333333087,0,9.808280944824219,5.486871242523193,10.0,0.03675619512796402,1,0,5,-0.03797,-0.03797,-0.03797,-0.03797,-0.038079,-0.108334,0.095749,-0.032064,3415
34,135,3,7,-1,0,0.1066666666666642,1,0.5107167363166809,1.6701246500015259,0.5031121969223022,5.78290200792253e-05,1,0,5,-0.038079,-0.038079,-0.038079,-0.038079,-0.038177,-0.108335,0.095778,-0.032173,3416
35,135,7,11,-1,0,0.1066666666666642,1,1.6381946802139282,2.6952991485595703,1.4257690906524658,0.04512463137507439,1,0,5,-0.038177,-0.038177,-0.038177,-0.038177,-0.038266,-0.108394,0.095804,-0.032271,3417
36,135,11,10,-1,1,0.1066666666666642,2,2.6531193256378174,4.329257965087891,2.896332025527954,0.05915241688489914,1,0,5,-0.038266,-0.038266,-0.038266,-0.038266,-0.038345,-0.108446,0.095858,-0.032359,3418
37,135,10,9,-1,0,0.1066666666666642,2,4.316001892089844,6.1309661865234375,4.517869472503662,0.040750518441200256,1,0,5,-0.038345,-0.038345,-0.038345,-0.038345,-0.038417,-0.108494,0.095931,-0.032439,3419
